timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-12 14:54:29,279,70,56,0,-27.9375,-2.6
2021-04-12 14:54:29,298,70,56,0,-27.9375,-2.6
2021-04-12 14:54:29,315,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,332,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,352,70,56,0,-27.9375,-2.66
2021-04-12 14:54:29,371,70,56,0,-27.9375,-2.6
2021-04-12 14:54:29,388,70,56,0,-27.9375,-2.42
2021-04-12 14:54:29,407,70,56,0,-27.9375,-2.54
2021-04-12 14:54:29,423,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,440,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,457,70,56,0,-27.9375,-2.42
2021-04-12 14:54:29,476,70,56,0,-27.9375,-2.54
2021-04-12 14:54:29,493,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,510,70,56,0,-27.9375,-2.48
2021-04-12 14:54:29,529,70,56,0,-27.9375,-2.54
2021-04-12 14:54:29,545,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,562,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,580,70,56,0,-27.9375,-2.48
2021-04-12 14:54:29,599,70,56,0,-27.9375,-2.54
2021-04-12 14:54:29,615,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,633,70,56,0,-27.9375,-2.48
2021-04-12 14:54:29,648,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,664,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,681,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,698,70,56,0,-27.9375,-2.48
2021-04-12 14:54:29,714,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,731,70,56,0,-27.9375,-2.36
2021-04-12 14:54:29,749,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:29,767,70,53,0,-27.9375,-2.84
2021-04-12 14:54:29,784,70,53,0,-27.9375,-2.66
2021-04-12 14:54:29,800,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,817,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,835,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:29,852,70,53,0,-27.9375,-2.66
2021-04-12 14:54:29,868,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,884,70,53,0,-27.9375,-2.66
2021-04-12 14:54:29,901,70,53,0,-27.9375,-2.66
2021-04-12 14:54:29,917,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,934,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,951,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,968,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:29,986,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,002,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,018,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,034,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,052,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,068,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,084,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,101,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,117,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,133,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,150,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,168,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,185,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,202,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,220,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,236,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,253,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,271,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,287,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,304,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,320,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,337,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,353,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,369,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,392,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,410,70,53,0,-27.9375,-3.02
2021-04-12 14:54:30,427,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,445,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,464,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,483,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,512,70,53,0,-27.9375,-3.4399999999999995
2021-04-12 14:54:30,542,70,53,0,-27.9375,-3.5
2021-04-12 14:54:30,560,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,578,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,595,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,613,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,631,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,647,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,663,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,679,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,697,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,714,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,730,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,747,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,770,70,53,0,-27.9375,-3.02
2021-04-12 14:54:30,788,70,53,0,-27.9375,-2.7800000000000002
2021-04-12 14:54:30,806,70,53,0,-27.9375,-2.84
2021-04-12 14:54:30,822,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,839,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,855,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,871,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,888,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,904,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,921,70,53,0,-27.9375,-2.66
2021-04-12 14:54:30,937,70,53,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:30,954,70,44,0,-27.9375,-3.56
2021-04-12 14:54:30,973,70,44,0,-27.9375,-3.68
2021-04-12 14:54:30,990,70,44,0,-27.9375,-3.74
2021-04-12 14:54:31,007,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,023,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,040,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,056,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,073,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,089,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,105,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,121,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,137,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,154,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,170,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,190,70,44,0,-27.9375,-3.74
2021-04-12 14:54:31,209,70,44,0,-27.9375,-3.8000000000000003
2021-04-12 14:54:31,225,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,241,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,259,70,44,0,-27.9375,-3.74
2021-04-12 14:54:31,278,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,294,70,44,0,-27.9375,-3.62
