Trial Number,Threshold Array,Gravity,Coins Collected,User Order,Ground Truth
0,[60 50 40],0.0,[133 128 127],[1 2 3],[3 2 1]
1,[60 50 40],0.0,[  0 128 109],[2 3 1],[3 2 1]
2,[60 50 40],0.0,[  0  55 129],[3 2 1],[3 2 1]
3,[40 50 60],0.0,[85 32  0],[1 2 3],[1 2 3]
