Trial Number,Threshold Array,Gravity,Coins Collected,User Order,Ground Truth
0,[40 60 50],0.0,[ 20  66 127],[3 2 1],[1 3 2]
1,[60 50 40],0.0,[ 23 106 129],[3 2 1],[3 2 1]
2,[40 50 60],0.0,[24 50  0],[2 1 3],[1 2 3]
3,[60 50 40],0.0,[28 26 83],[3 2 1],[3 2 1]
