Trial Number,Threshold Array,Coins Collected,User Order,Ground Truth
0,[50 40 60],[76 75  0],[2 1 3],[2 1 3]
1,[60 50 40],[ 0  0 67],[3 1 2],[3 2 1]
2,[50 60 40],[ 0  0 43],[3 2 1],[3 1 2]
4,[50 60 40],[38 14 38],[3 1 2],[3 1 2]
5,[50 60 40],[0 0 0],[3 1 2],[3 1 2]
