Trial Number,Threshold Array,Coins Collected,User Order,Ground Truth
0,[50 60 40],[143 128 119],[3 2 1],[3 1 2]
1,[40 50 60],[58 87  3],[2 1 3],[1 2 3]
2,[50 60 40],[23 18 82],[ 3 21],[3 1 2]
